Index,Locus tag,Ra,Ra_UNIPROT,#Name,Accession,Start,Stop,Strand,GeneID,Locus,Protein product,Length,Protein Name
694,Rv0688,mra:MRA_0697,A5U074,chromosome,NC_000962.3,787940,789160,+,888280,,NP_215202.1,406,ferredoxin reductase
695,Rv0689c,mra:MRA_0698,A5U075,chromosome,NC_000962.3,789157,789411,-,888283,,NP_215203.1,84,hypothetical protein Rv0689c
696,Rv0690c,mra:MRA_0699,A5U076,chromosome,NC_000962.3,790024,791073,-,888292,,NP_215204.1,349,hypothetical protein Rv0690c
697,Rv0691c,mra:MRA_0700,A5U077,chromosome,NC_000962.3,791070,791666,-,888296,,NP_215205.1,198,mycofactocin biosynthesis transcriptional regulator MftR
698,Rv0691A,,,chromosome,NC_000962.3,791757,791846,+,14515851,,YP_007409348.2,29,mycofactocin precursor
699,Rv0692,mra:MRA_0700A,A5U078,chromosome,NC_000962.3,791831,792160,+,888285,,NP_215206.1,109,mycofactocin system protein MftB
700,Rv0693,mra:MRA_0701,A5U079,chromosome,NC_000962.3,792157,793332,+,888302,,NP_215207.1,391,mycofactocin radical SAM maturase MftC
701,Rv0694,mra:MRA_0702,A5U080,chromosome,NC_000962.3,793335,794525,+,888310,,NP_215208.1,396,mycofactocin system heme/flavin oxidoreductase MftD
702,Rv0695,mra:MRA_0703,A5U081,chromosome,NC_000962.3,794715,795470,+,888314,,NP_215209.1,251,mycofactocin system creatinine amidohydrolase family protein MftE
703,Rv0696,mra:MRA_0704,A5U082,chromosome,NC_000962.3,795519,796931,+,888307,,NP_215210.1,470,mycofactocin biosynthesis glycosyltransferase MftF
704,Rv0697,mra:MRA_0705,A5U083,chromosome,NC_000962.3,796933,798372,+,888316,,NP_215211.1,479,dehydrogenase
705,Rv0698,mra:MRA_0706,A5U084,chromosome,NC_000962.3,798833,799444,+,888327,,NP_215212.1,203,hypothetical protein Rv0698
706,Rv0699,mra:MRA_0707,A5U085,chromosome,NC_000962.3,799629,799850,+,888335,,NP_215213.1,73,hypothetical protein Rv0699
707,Rv0700,mra:MRA_0708,A5U086,chromosome,NC_000962.3,800487,800792,+,888331,rpsJ,NP_215214.1,101,30S ribosomal protein S10
708,Rv0701,mra:MRA_0709,A5U087,chromosome,NC_000962.3,800809,801462,+,888343,rplC,NP_215215.1,217,50S ribosomal protein L3
709,Rv0702,mra:MRA_0710,A5U088,chromosome,NC_000962.3,801462,802133,+,888345,rplD,NP_215216.1,223,50S ribosomal protein L4
710,Rv0703,mra:MRA_0711,A5U089,chromosome,NC_000962.3,802133,802435,+,888353,rplW,NP_215217.1,100,50S ribosomal protein L23
711,Rv0704,mra:MRA_0712,A5U090,chromosome,NC_000962.3,802528,803370,+,888341,rplB,NP_215218.1,280,50S ribosomal protein L2
712,Rv0705,mra:MRA_0713,A5U091,chromosome,NC_000962.3,803411,803692,+,888356,rpsS,NP_215219.1,93,30S ribosomal protein S19
713,Rv0706,mra:MRA_0714,A5U092,chromosome,NC_000962.3,803689,804282,+,888359,rplV,NP_215220.1,197,50S ribosomal protein L22
714,Rv0707,mra:MRA_0715,A5U093,chromosome,NC_000962.3,804282,805106,+,888357,rpsC,NP_215221.1,274,30S ribosomal protein S3
715,Rv0708,mra:MRA_0716,A5U094,chromosome,NC_000962.3,805110,805526,+,888377,rplP,NP_215222.1,138,50S ribosomal protein L16
716,Rv0709,mra:MRA_0717,A5U095,chromosome,NC_000962.3,805526,805759,+,888374,rpmC,NP_215223.1,77,50S ribosomal protein L29
717,Rv0710,mra:MRA_0718,A5U096,chromosome,NC_000962.3,805756,806166,+,888391,rpsQ,NP_215224.1,136,30S ribosomal protein S17
718,Rv0711,mra:MRA_0719,A5U097,chromosome,NC_000962.3,806335,808698,+,888394,atsA,NP_215225.1,787,arylsulfatase AtsA
719,Rv0712,mra:MRA_0720,A5U098,chromosome,NC_000962.3,808746,809645,+,888346,,NP_215226.1,299,hypothetical protein Rv0712
720,Rv0713,mra:MRA_0721,A5U099,chromosome,NC_000962.3,809946,810887,+,888405,,NP_215227.1,313,transmembrane protein
721,Rv0714,mra:MRA_0722,A5U0A0,chromosome,NC_000962.3,811373,811741,+,888411,rplN,NP_215228.1,122,50S ribosomal protein L14
722,Rv0715,mra:MRA_0723,A5U0A1,chromosome,NC_000962.3,811742,812059,+,888421,rplX,NP_215229.1,105,50S ribosomal protein L24
723,Rv0716,mra:MRA_0724,A5U0A2,chromosome,NC_000962.3,812059,812622,+,888400,rplE,NP_215230.1,187,50S ribosomal protein L5
724,Rv0717,mra:MRA_0725,A5U0A3,chromosome,NC_000962.3,812627,812812,+,888414,rpsN1,YP_177747.1,61,30S ribosomal protein S14
725,Rv0718,mra:MRA_0726,A5U0A4,chromosome,NC_000962.3,812976,813374,+,888424,rpsH,NP_215232.1,132,30S ribosomal protein S8
726,Rv0719,mra:MRA_0727,A5U0A5,chromosome,NC_000962.3,813398,813937,+,888433,rplF,NP_215233.1,179,50S ribosomal protein L6
727,Rv0720,mra:MRA_0728,A5U0A6,chromosome,NC_000962.3,813940,814308,+,888457,rplR,NP_215234.1,122,50S ribosomal protein L18
728,Rv0721,mra:MRA_0729,A5U0A7,chromosome,NC_000962.3,814328,814990,+,888465,rpsE,NP_215235.1,220,30S ribosomal protein S5
729,Rv0722,mra:MRA_0730,A5U0A8,chromosome,NC_000962.3,814993,815190,+,888505,rpmD,NP_215236.1,65,50S ribosomal protein L30
730,Rv0723,mra:MRA_0731,A5U0A9,chromosome,NC_000962.3,815190,815630,+,888531,rplO,NP_215237.1,146,50S ribosomal protein L15
731,Rv0724,mra:MRA_0732,A5U0B0,chromosome,NC_000962.3,815663,817534,+,888535,sppA,NP_215238.1,623,protease IV SppA
732,Rv0725c,mra:MRA_0733,A5U0B1,chromosome,NC_000962.3,817539,818444,-,888447,,NP_215239.1,301,hypothetical protein Rv0725c
733,Rv0726c,mra:MRA_0734,A5U0B2,chromosome,NC_000962.3,818537,819640,-,888552,,NP_215240.1,367,S-adenosylmethionine-dependent methyltransferase
734,Rv0727c,mra:MRA_0735,A5U0B3,chromosome,NC_000962.3,819843,820499,-,888550,fucA,NP_215241.1,218,L-fuculose phosphate aldolase FucA
735,Rv0728c,mra:MRA_0736,A5U0B4,chromosome,NC_000962.3,820496,821476,-,888555,serA2,NP_215242.1,326,D-3-phosphoglycerate dehydrogenase SerA
736,Rv0729,mra:MRA_0737,A5U0B5,chromosome,NC_000962.3,821507,822853,+,888548,xylB,NP_215243.1,448,D-xylulose kinase XylB
737,Rv0730,mra:MRA_0738,A5U0B6,chromosome,NC_000962.3,822866,823594,+,888558,,NP_215244.1,242,GCN5-like N-acetyltransferase
738,Rv0731c,mra:MRA_0739,A5U0B7,chromosome,NC_000962.3,823683,824639,-,888556,,NP_215245.1,318,S-adenosylmethionine-dependent methyltransferase
739,Rv0732,mra:MRA_0740,A5U0B8,chromosome,NC_000962.3,824800,826125,+,888559,secY,NP_215246.1,441,preprotein translocase SecY
740,Rv0733,mra:MRA_0741,A5U0B9,chromosome,NC_000962.3,826122,826667,+,888567,adk,NP_215247.1,181,adenylate kinase
741,Rv0734,mra:MRA_0742,A5U0C0,chromosome,NC_000962.3,826670,827470,+,888564,mapA,YP_177748.1,266,methionine aminopeptidase
742,Rv0735,mra:MRA_0743,A5U0C1,chromosome,NC_000962.3,827543,828076,+,888609,sigL,NP_215249.1,177,ECF RNA polymerase sigma factor SigL
743,Rv0736,mra:MRA_0744,A5U0C2,chromosome,NC_000962.3,828140,828892,+,888611,rslA,NP_215250.1,250,anti-sigma-L factor RslA
744,Rv0737,mra:MRA_0746,A5U0C4,chromosome,NC_000962.3,829207,829704,+,888619,,NP_215251.1,165,transcriptional regulator
745,Rv0738,mra:MRA_0747,A5U0C5,chromosome,NC_000962.3,830062,830610,+,888620,,NP_215252.1,182,hypothetical protein Rv0738
746,Rv0739,mra:MRA_0748,A5U0C6,chromosome,NC_000962.3,830855,831661,+,888622,,NP_215253.1,268,hypothetical protein Rv0739
747,Rv0740,mra:MRA_0749,A5U0C7,chromosome,NC_000962.3,831776,832303,+,888638,,NP_215254.1,175,hypothetical protein Rv0740
748,Rv0742,mra:MRA_0751,A5U0C9,chromosome,NC_000962.3,832981,833508,+,888645,,YP_177749.1,175,hypothetical protein Rv0742
749,Rv0743c,mra:MRA_0752,A5U0D0,chromosome,NC_000962.3,833886,834443,-,888641,,NP_215257.1,185,hypothetical protein Rv0743c
750,Rv0744c,mra:MRA_0753,A5U0D1,chromosome,NC_000962.3,834440,834946,-,888648,,NP_215258.1,168,transcriptional regulator
751,Rv0745,mra:MRA_3684,A5U8X3,chromosome,NC_000962.3,835154,835681,+,888595,,NP_215259.1,175,hypothetical protein Rv0745
752,Rv0746,mra:MRA_0754,A5U0D2,chromosome,NC_000962.3,835701,838052,+,888664,PE_PGRS9,YP_177750.1,783,PE-PGRS family protein PE_PGRS9
753,Rv0747,mra:MRA_0755,A5U0D3,chromosome,NC_000962.3,838451,840856,+,888662,PE_PGRS10,YP_177751.1,801,PE-PGRS family protein PE_PGRS10
754,Rv0748,mra:MRA_0756,A5U0D4,chromosome,NC_000962.3,840947,841204,+,888682,vapB31,NP_215262.1,85,antitoxin VapB31
755,Rv0749,mra:MRA_0757,A5U0D5,chromosome,NC_000962.3,841228,841656,+,888681,vapC31,NP_215263.1,142,ribonuclease VapC31
756,Rv0749A,mra:MRA_0758,A5U0D6,chromosome,NC_000962.3,841737,841874,-,3205052,,YP_177632.1,45,hypothetical protein Rv0749A
757,Rv0750,mra:MRA_0759,A5U0D7,chromosome,NC_000962.3,842033,842278,+,888688,,NP_215264.1,81,hypothetical protein Rv0750
758,Rv0751c,mra:MRA_0760,A5U0D8,chromosome,NC_000962.3,842347,843231,-,888658,mmsB,NP_215265.1,294,3-hydroxyisobutyrate dehydrogenase
759,Rv0752c,mra:MRA_0761,A5U0D9,chromosome,NC_000962.3,843242,844414,-,888684,fadE9,NP_215266.1,390,acyl-CoA dehydrogenase FadE9
760,Rv0753c,mra:MRA_0762,A5U0E0,chromosome,NC_000962.3,844421,845953,-,888707,mmsA,NP_215267.1,510,methylmalonate-semialdehyde dehydrogenase
761,Rv0754,mra:MRA_0763,A5U0E1,chromosome,NC_000962.3,846159,847913,+,888695,PE_PGRS11,YP_177752.1,584,PE-PGRS family protein PE_PGRS11
762,Rv0755c,mra:MRA_0764,A5U0E2,chromosome,NC_000962.3,848103,850040,-,888708,PPE12,YP_177753.1,645,PPE family protein PPE12
763,Rv0756c,mra:MRA_0766,A5U0E4,chromosome,NC_000962.3,850741,851466,-,888730,,NP_215270.1,241,hypothetical protein Rv0756c
764,Rv0757,mra:MRA_0767,A5U0E5,chromosome,NC_000962.3,851608,852351,+,888772,phoP,NP_215271.1,247,two component system response transcriptional positive regulator PhoP
765,Rv0758,mra:MRA_0768,A5U0E6,chromosome,NC_000962.3,852396,853853,+,888775,phoR,NP_215272.1,485,two component system response sensor kinase PhoR
766,Rv0759c,mra:MRA_0769,A5U0E7,chromosome,NC_000962.3,853825,854157,-,888776,,NP_215273.3,110,hypothetical protein Rv0759c
767,Rv0760c,mra:MRA_0770,A5U0E8,chromosome,NC_000962.3,854267,854686,-,888784,,NP_215274.1,139,hypothetical protein Rv0760c
768,Rv0761c,mra:MRA_0771,A5U0E9,chromosome,NC_000962.3,854699,855826,-,888738,adhB,YP_177754.1,375,alcohol dehydrogenase B
769,Rv0762c,mra:MRA_0771A,A5U0F0,chromosome,NC_000962.3,855925,856470,-,888807,,NP_215276.1,181,hypothetical protein Rv0762c
770,Rv0763c,mra:MRA_0772,A5U0F1,chromosome,NC_000962.3,856473,856679,-,888814,,NP_215277.1,68,ferredoxin
771,Rv0764c,mra:MRA_0773,A5U0F2,chromosome,NC_000962.3,856682,858037,-,888819,cyp51,NP_215278.1,451,lanosterol 14-alpha demethylase
772,Rv0765c,mra:MRA_0774,A5U0F3,chromosome,NC_000962.3,858037,858864,-,888793,,NP_215279.1,275,oxidoreductase
773,Rv0766c,mra:MRA_0775,A5U0F4,chromosome,NC_000962.3,858864,860072,-,888834,cyp123,NP_215280.1,402,cytochrome P450 Cyp123
774,Rv0767c,mra:MRA_0776,A5U0F5,chromosome,NC_000962.3,860069,860710,-,888833,,NP_215281.1,213,HTH-type transcriptional regulator
775,Rv0768,mra:MRA_0777,A5U0F6,chromosome,NC_000962.3,860912,862381,+,888832,aldA,NP_215282.1,489,aldehyde dehydrogenase AldA
776,Rv0769,mra:MRA_0778,A5U0F7,chromosome,NC_000962.3,862412,863158,+,888837,,NP_215283.1,248,oxidoreductase
777,Rv0770,mra:MRA_0779,A5U0F8,chromosome,NC_000962.3,863256,864143,+,888868,,NP_215284.1,295,oxidoreductase
778,Rv0771,mra:MRA_0780,A5U0F9,chromosome,NC_000962.3,864140,864574,+,888872,,NP_215285.1,144,4-carboxymuconolactone decarboxylase
779,Rv0772,mra:MRA_0781,A5U0G0,chromosome,NC_000962.3,864586,865854,+,888873,purD,NP_215286.1,422,phosphoribosylamine--glycine ligase
780,Rv0773c,mra:MRA_0782,A5U0G1,chromosome,NC_000962.3,865851,867389,-,888893,ggtA,NP_215287.1,512,bifunctional cephalosporin acylase/gamma-glutamyltranspeptidase
781,Rv0774c,mra:MRA_0783,A5U0G2,chromosome,NC_000962.3,867440,868351,-,888895,,NP_215288.2,303,hypothetical protein Rv0774c
782,Rv0775,mra:MRA_0784,A5U0G3,chromosome,NC_000962.3,868407,869030,+,888899,,NP_215289.1,207,hypothetical protein Rv0775
783,Rv0776c,mra:MRA_0785,A5U0G4,chromosome,NC_000962.3,868984,869763,-,888918,,NP_215290.1,259,hypothetical protein Rv0776c
784,Rv0777,mra:MRA_0786,A5U0G5,chromosome,NC_000962.3,870008,871426,+,888929,purB,NP_215291.1,472,adenylosuccinate lyase PurB
785,Rv0778,mra:MRA_0787,A5U0G6,chromosome,NC_000962.3,871431,872675,+,888913,cyp126,NP_215292.1,414,cytochrome P450 Cyp126
786,Rv0779c,mra:MRA_0788,A5U0G7,chromosome,NC_000962.3,872672,873292,-,888941,,NP_215293.1,206,transmembrane protein
787,Rv0780,mra:MRA_0789,A5U0G8,chromosome,NC_000962.3,873343,874236,+,888928,purC,NP_215294.1,297,phosphoribosylaminoimidazole-succinocarboxamide synthase
788,Rv0783c,mra:MRA_0792,A5U0H1,chromosome,NC_000962.3,876818,878440,-,885836,emrB,NP_215297.1,540,multidrug resistance protein EmrB
789,Rv0784,mra:MRA_0793,A5U0H2,chromosome,NC_000962.3,878638,879324,+,885863,,NP_215298.1,228,hypothetical protein Rv0784
790,Rv0785,mra:MRA_0794,A5U0H3,chromosome,NC_000962.3,879340,881040,+,885864,,NP_215299.1,566,KsdD-like steroid dehydrogenase
791,Rv0786c,mra:MRA_0795,A5U0H4,chromosome,NC_000962.3,881075,881713,-,885615,,NP_215300.2,212,hypothetical protein Rv0786c
792,Rv0787,mra:MRA_0796,A5U0H5,chromosome,NC_000962.3,881459,882418,+,885468,,NP_215301.1,319,hypothetical protein Rv0787
793,Rv0787A,mra:MRA_0797,A5U0H6,chromosome,NC_000962.3,882524,882763,+,886264,,YP_177755.1,79,hypothetical protein Rv0787A
794,Rv0788,mra:MRA_0798,A5U0H7,chromosome,NC_000962.3,882760,883434,+,885181,purQ,NP_215303.1,224,phosphoribosylformylglycinamidine synthase
795,Rv0789c,mra:MRA_0799,A5U0H8,chromosome,NC_000962.3,883451,884050,-,885153,,NP_215304.1,199,hypothetical protein Rv0789c
796,Rv0790c,mra:MRA_0800,A5U0H9,chromosome,NC_000962.3,884072,884800,-,885253,,NP_215305.1,242,hypothetical protein Rv0790c
797,Rv0791c,mra:MRA_0801,A5U0I0,chromosome,NC_000962.3,884797,885840,-,885273,,NP_215306.1,347,hypothetical protein Rv0791c
798,Rv0792c,mra:MRA_0802,A5U0I1,chromosome,NC_000962.3,885837,886646,-,885142,,NP_215307.1,269,transcriptional regulator
799,Rv0793,mra:MRA_0803,A5U0I2,chromosome,NC_000962.3,886719,887024,+,885497,,NP_215308.1,101,monooxygenase
800,Rv0794c,mra:MRA_0804,A5U0I3,chromosome,NC_000962.3,887137,888636,-,885076,,YP_177756.1,499,oxidoreductase
801,Rv0797,mra:MRA_0807,A5U0I6,chromosome,NC_000962.3,890388,891482,+,885476,,NP_215312.1,364,insertion sequence element IS1547 transposase
802,Rv0798c,mra:MRA_0808,A5U0I7,chromosome,NC_000962.3,891472,892269,-,885460,cfp29,NP_215313.1,265,hypothetical protein Rv0798c
803,Rv0799c,mra:MRA_0809,A5U0I8,chromosome,NC_000962.3,892266,893273,-,885388,,NP_215314.1,335,hypothetical protein Rv0799c
804,Rv0800,mra:MRA_0810,A5U0I9,chromosome,NC_000962.3,893318,894619,+,885461,pepC,NP_215315.1,433,M18 family aminopeptidase
805,Rv0801,mra:MRA_0811,A5U0J0,chromosome,NC_000962.3,894631,894978,+,885376,,NP_215316.1,115,hypothetical protein Rv0801
806,Rv0802c,mra:MRA_0812,A5U0J1,chromosome,NC_000962.3,894972,895628,-,885332,,NP_215317.1,218,succinyl-CoA transferase
807,Rv0803,mra:MRA_0813,A5U0J2,chromosome,NC_000962.3,895820,898084,+,885358,purL,NP_215318.1,754,phosphoribosylformylglycinamidine synthase 2
808,Rv0804,mra:MRA_0814,A5U0J3,chromosome,NC_000962.3,898081,898710,+,885330,,NP_215319.1,209,hypothetical protein Rv0804
"809,Rv0805,mra:MRA_0815,A5U0J4,chromosome,NC_000962.3,898831,899787,+,885326,,NP_215320.1,318,""3\\',5\\'-cyclic adenosine monophosphate phosphodiesterase CpdA"""
810,Rv0806c,mra:MRA_0816,A5U0J5,chromosome,NC_000962.3,899732,901330,-,885243,cpsY,NP_215321.1,532,exopolysaccharide phosphotransferase CpsY
811,Rv0807,mra:MRA_0817,A5U0J6,chromosome,NC_000962.3,901635,902024,+,885272,,NP_215322.1,129,hypothetical protein Rv0807
812,Rv0808,mra:MRA_0818,A5U0J7,chromosome,NC_000962.3,902111,903694,+,885085,purF,NP_215323.1,527,amidophosphoribosyltransferase
813,Rv0809,mra:MRA_0819,A5U0J8,chromosome,NC_000962.3,903725,904819,+,885134,purM,NP_215324.1,364,phosphoribosylformylglycinamidine cyclo-ligase PurM
814,Rv0810c,mra:MRA_0820,A5U0J9,chromosome,NC_000962.3,904905,905087,-,885410,,NP_215325.1,60,hypothetical protein Rv0810c
815,Rv0811c,mra:MRA_0821,A5U0K0,chromosome,NC_000962.3,905234,906340,-,885401,,NP_215326.1,368,hypothetical protein Rv0811c
816,Rv0812,mra:MRA_0822,A5U0K1,chromosome,NC_000962.3,906423,907292,+,885397,,YP_177757.1,289,amino acid aminotransferase
817,Rv0813c,mra:MRA_0823,A5U0K2,chromosome,NC_000962.3,907338,908018,-,885395,,NP_215328.1,226,hypothetical protein Rv0813c
818,Rv0814c,mra:MRA_0824,A5U0K3,chromosome,NC_000962.3,908181,908483,-,885435,,NP_215329.1,100,hypothetical protein Rv0814c
819,Rv0815c,mra:MRA_0825,A5U0K4,chromosome,NC_000962.3,908485,909318,-,885449,cysA2,NP_215330.1,277,thiosulfate sulfurtransferase CysA
820,Rv0816c,mra:MRA_0826,A5U0K5,chromosome,NC_000962.3,909611,910033,-,885087,thiX,NP_215331.1,140,thioredoxin ThiX
821,Rv0817c,mra:MRA_0827,A5U0K6,chromosome,NC_000962.3,910030,910842,-,885440,,NP_215332.1,270,hypothetical protein Rv0817c
822,Rv0818,mra:MRA_0828,A5U0K7,chromosome,NC_000962.3,910972,911739,+,885144,,NP_215333.1,255,transcriptional regulator
823,Rv0819,mra:MRA_0829,A5U0K8,chromosome,NC_000962.3,911736,912683,+,885251,mshD,NP_215334.1,315,mycothiol acetyltransferase
824,Rv0820,mra:MRA_0830,A5U0K9,chromosome,NC_000962.3,912726,913502,+,885136,phoT,NP_215335.1,258,phosphate ABC transporter ATP-binding protein PhoT
825,Rv0821c,mra:MRA_0831,A5U0L0,chromosome,NC_000962.3,913558,914199,-,885270,phoY2,NP_215336.1,213,phosphate-transport system transcriptional regulator PhoY2
826,Rv0822c,mra:MRA_0832,A5U0L1,chromosome,NC_000962.3,914257,916311,-,885374,,NP_215337.1,684,hypothetical protein Rv0822c
827,Rv0823c,mra:MRA_0833,A5U0L2,chromosome,NC_000962.3,916477,917646,-,885380,,NP_215338.1,389,tRNA-dihydrouridine synthase
828,Rv0824c,mra:MRA_0834,A5U0L3,chromosome,NC_000962.3,917734,918750,-,885444,desA1,YP_177758.1,338,acyl-ACP desaturase DesA
829,Rv0825c,mra:MRA_0835,A5U0L4,chromosome,NC_000962.3,918912,919553,-,885354,,NP_215340.1,213,hypothetical protein Rv0825c
830,Rv0826,mra:MRA_0836,A5U0L5,chromosome,NC_000962.3,919634,920689,+,885360,,NP_215341.1,351,hypothetical protein Rv0826
831,Rv0827c,mra:MRA_0837,A5U0L6,chromosome,NC_000962.3,920741,921133,-,885375,kmtR,NP_215342.1,130,HTH-type transcriptional regulator KmtR
832,Rv0828c,mra:MRA_0838,A5U0L7,chromosome,NC_000962.3,921191,921613,-,885265,,NP_215343.1,140,deaminase
833,Rv0830,mra:MRA_0839,A5U0L8,chromosome,NC_000962.3,921970,922875,+,885886,,NP_215345.1,301,S-adenosylmethionine-dependent methyltransferase
834,Rv0831c,mra:MRA_0840,A5U0L9,chromosome,NC_000962.3,922894,923709,-,885349,,NP_215346.1,271,hypothetical protein Rv0831c
835,Rv0832,mra:MRA_0841,A5U0M0,chromosome,NC_000962.3,924951,925364,+,885236,PE_PGRS12,YP_177759.1,137,PE-PGRS family protein PE_PGRS12
836,Rv0833,mra:MRA_0841A,A5U0M1,chromosome,NC_000962.3,925361,927610,+,885391,PE_PGRS13,YP_177760.1,749,PE-PGRS family protein PE_PGRS13
837,Rv0834c,mra:MRA_0842,A5U0M2,chromosome,NC_000962.3,927837,930485,-,885369,PE_PGRS14,YP_177761.1,882,PE-PGRS family protein PE_PGRS14
838,Rv0835,mra:MRA_0843,A5U0M3,chromosome,NC_000962.3,930953,931597,+,885883,lpqQ,NP_215350.1,214,lipoprotein LpqQ
839,Rv0836c,mra:MRA_0844,A5U0M4,chromosome,NC_000962.3,932279,932932,-,885356,,NP_215351.1,217,hypothetical protein Rv0836c
840,Rv0837c,mra:MRA_0845,A5U0M5,chromosome,NC_000962.3,933003,934031,-,885109,,NP_215352.1,342,hypothetical protein Rv0837c
841,Rv0838,mra:MRA_0846,A5U0M6,chromosome,NC_000962.3,934720,935490,+,885417,lpqR,NP_215353.1,256,lipoprotein LpqR
842,Rv0839,mra:MRA_0847,A5U0M7,chromosome,NC_000962.3,935577,936389,+,885255,,NP_215354.1,270,hypothetical protein Rv0839
843,Rv0840c,mra:MRA_0848,A5U0M8,chromosome,NC_000962.3,936457,937317,-,885611,pip,NP_215355.1,286,proline iminopeptidase
844,Rv0841,mra:MRA_0849,A5U0M9,chromosome,NC_000962.3,937593,937835,+,3205068,,YP_177634.1,80,transmembrane protein
845,Rv0842,mra:MRA_0850,A5U0N0,chromosome,NC_000962.3,938112,939404,+,885616,,NP_215357.1,430,integral membrane protein
846,Rv0843,mra:MRA_0851,A5U0N1,chromosome,NC_000962.3,939388,940392,+,885554,,NP_215358.1,334,dehydrogenase
847,Rv0844c,mra:MRA_0852,A5U0N2,chromosome,NC_000962.3,940456,941106,-,885603,narL,NP_215359.1,216,nitrate/nitrite response transcriptional regulator NarL
848,Rv0845,mra:MRA_0853,A5U0N3,chromosome,NC_000962.3,941190,942467,+,885218,,NP_215360.1,425,sensor histidine kinase NarS
849,Rv0846c,mra:MRA_0854,A5U0N4,chromosome,NC_000962.3,942680,944194,-,885207,,NP_215361.1,504,oxidase
850,Rv0847,mra:MRA_0855,A5U0N5,chromosome,NC_000962.3,944343,944735,+,885051,lpqS,NP_215362.1,130,lipoprotein LpqS
851,Rv0848,mra:MRA_0856,A5U0N6,chromosome,NC_000962.3,944938,946056,+,885545,cysK2,YP_177762.1,372,cysteine synthase CysK
852,Rv0849,mra:MRA_0857,A5U0N7,chromosome,NC_000962.3,946056,947315,+,885111,,NP_215364.1,419,MFS-type transporter
853,Rv0851c,mra:MRA_0859,A5U0N9,chromosome,NC_000962.3,947641,948468,-,885550,,NP_215366.1,275,short-chain type dehydrogenase/reductase
854,Rv0852,mra:MRA_0860,A5U0P0,chromosome,NC_000962.3,948757,949395,+,885044,,NP_215367.2,212,hypothetical protein Rv0852
855,Rv0853c,mra:MRA_0861,A5U0P1,chromosome,NC_000962.3,949436,951118,-,885576,pdc,NP_215368.1,560,alpha-keto-acid decarboxylase
856,Rv0854,mra:MRA_0862,A5U0P2,chromosome,NC_000962.3,951183,951626,+,885127,,NP_215369.1,147,hypothetical protein Rv0854
857,Rv0855,mra:MRA_0863,A5U0P3,chromosome,NC_000962.3,951632,952711,+,885790,far,NP_215370.1,359,fatty-acid-CoA racemase
858,Rv0856,mra:MRA_0864,A5U0P4,chromosome,NC_000962.3,952825,953229,+,885783,,NP_215371.1,134,hypothetical protein Rv0856
859,Rv0857,mra:MRA_0865,A5U0P5,chromosome,NC_000962.3,953257,953730,+,885078,,NP_215372.2,157,hypothetical protein Rv0857
860,Rv0858c,mra:MRA_0866,A5U0P6,chromosome,NC_000962.3,953727,954920,-,885784,dapC,NP_215373.1,397,N-succinyldiaminopimelate aminotransferase DapC
861,Rv0859,mra:MRA_0867,A5U0P7,chromosome,NC_000962.3,955077,956288,+,885774,,NP_215374.1,403,acyltransferase
862,Rv0860,mra:MRA_0868,A5U0P8,chromosome,NC_000962.3,956293,958455,+,885799,fadB,NP_215375.1,720,fatty oxidation protein FadB
863,Rv0861c,mra:MRA_0869,A5U0P9,chromosome,NC_000962.3,958523,960151,-,885425,ercc3,NP_215376.3,542,DNA helicase Ercc3
864,Rv0862c,mra:MRA_0870,A5U0Q0,chromosome,NC_000962.3,960342,962612,-,885413,,NP_215377.1,756,hypothetical protein Rv0862c
865,Rv0863,mra:MRA_0870A,A5U0Q1,chromosome,NC_000962.3,962680,962880,+,885423,,NP_215378.2,66,hypothetical protein Rv0863
866,Rv0864,mra:MRA_0871,A5U0Q2,chromosome,NC_000962.3,962890,963393,+,885826,moaC2,NP_215379.1,167,cyclic pyranopterin monophosphate synthase accessory protein
867,Rv0865,mra:MRA_0872,A5U0Q3,chromosome,NC_000962.3,963390,963872,+,885348,mog,NP_215380.1,160,molybdopterin biosynthesis protein
868,Rv0866,mra:MRA_0873,A5U0Q4,chromosome,NC_000962.3,963869,964294,+,885431,moaE2,NP_215381.1,141,molybdopterin synthase catalytic subunit 2
869,Rv0867c,mra:MRA_0874,A5U0Q5,chromosome,NC_000962.3,964312,965535,-,885749,rpfA,NP_215382.1,407,resuscitation-promoting factor RpfA
870,Rv0868c,mra:MRA_0875,A5U0Q6,chromosome,NC_000962.3,965983,966261,-,885763,moaD2,NP_215383.1,92,cyclic pyranopterin monophosphate synthase
871,Rv0869c,mra:MRA_0876,A5U0Q7,chromosome,NC_000962.3,966265,967347,-,885773,moaA2,NP_215384.1,360,molybdenum cofactor biosynthesis protein MoaA
872,Rv0870c,mra:MRA_0877,A5U0Q8,chromosome,NC_000962.3,967344,967733,-,885709,,NP_215385.1,129,integral membrane protein
873,Rv0871,mra:MRA_0878,A5U0Q9,chromosome,NC_000962.3,967898,968305,+,885725,cspB,NP_215386.1,135,cold shock-like protein CspB
874,Rv0872c,mra:MRA_0879,A5U0R0,chromosome,NC_000962.3,968424,970244,-,885742,PE_PGRS15,YP_177763.1,606,PE-PGRS family protein PE_PGRS15
875,Rv0873,mra:MRA_0880,A5U0R1,chromosome,NC_000962.3,970505,972457,+,885636,fadE10,NP_215388.1,650,acyl-CoA dehydrogenase FadE10
